,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Pasni,54,PK,1595204454,84,25.26,63.47,84.92,10.0
1,Wagar,100,SD,1595204456,55,16.15,36.2,83.39,21.74
2,Vaini,90,TO,1595204458,88,-21.2,-175.2,71.6,8.05
3,Saskylakh,31,RU,1595204408,62,71.92,114.08,59.5,10.65
4,Punta Arenas,63,CL,1595204461,74,-53.15,-70.92,33.8,8.05
5,Teacapan,12,MX,1595204462,64,22.55,-105.75,86.92,10.76
6,Thompson,75,CA,1595204464,44,55.74,-97.86,75.2,4.7
7,Guhāgar,100,IN,1595204466,86,17.48,73.19,79.05,0.87
8,Aklavik,75,CA,1595204283,76,68.22,-135.01,48.2,5.82
9,Dodge City,1,US,1595204470,62,37.75,-100.02,90.0,8.05
10,Waingapu,27,ID,1595204472,73,-9.66,120.26,77.36,11.63
11,Ust'-Ishim,62,RU,1595204474,94,57.69,71.17,63.64,4.94
12,Borogontsy,75,RU,1595204477,66,62.67,131.17,78.22,7.54
13,Hermanus,3,ZA,1595204385,95,-34.42,19.23,53.01,1.99
14,Teguise,20,ES,1595204482,78,29.06,-13.56,75.2,17.22
15,Busselton,36,AU,1595204484,99,-33.65,115.33,48.0,3.0
16,Havøysund,75,NO,1595204486,76,71.0,24.66,53.6,5.82
17,Port Lincoln,49,AU,1595204488,62,-34.73,135.87,54.91,6.31
18,Thinadhoo,100,MV,1595204490,75,0.53,72.93,83.93,18.9
19,Taoudenni,39,ML,1595204492,15,22.68,-3.98,101.7,8.59
20,Ankpa,97,NG,1595204494,96,7.37,7.63,71.04,7.36
21,Kavieng,25,PG,1595204490,72,-2.57,150.8,84.16,11.1
22,Bredasdorp,6,ZA,1595204498,93,-34.53,20.04,55.4,3.36
23,Katsuura,75,JP,1595204500,94,35.13,140.3,82.0,3.36
24,Ibipeba,38,BR,1595204502,90,-11.64,-42.01,60.91,6.96
25,Vila Franca do Campo,40,PT,1595204235,64,37.72,-25.43,69.8,10.29
26,Mocuba,18,MZ,1595204505,98,-16.84,36.99,61.23,3.42
27,Northam,0,GB,1595204455,90,51.03,-4.22,57.0,1.01
28,Faanui,67,PF,1595204411,83,-16.48,-151.75,77.2,20.36
29,Yellowknife,40,CA,1595204512,49,62.46,-114.35,73.99,8.05
30,Storsteinnes,100,NO,1595204514,93,69.24,19.23,53.6,5.82
31,Chokurdakh,73,RU,1595204383,43,70.63,147.92,73.89,18.01
32,Albany,59,US,1595204316,65,42.6,-73.97,86.0,1.01
33,Hithadhoo,100,MV,1595204498,78,-0.6,73.08,83.5,16.17
34,Mataura,92,NZ,1595204520,83,-46.19,168.86,39.0,3.0
35,Egvekinot,0,RU,1595204523,54,66.32,-179.17,49.89,5.35
36,Atuona,24,PF,1595204525,74,-9.8,-139.03,79.54,14.52
37,Kununurra,0,AU,1595204526,24,-15.77,128.73,75.2,4.7
38,Port Alfred,0,ZA,1595204493,62,-33.59,26.89,60.26,6.55
39,Rikitea,45,PF,1595204530,62,-23.12,-134.97,68.68,11.03
40,North Battleford,40,CA,1595204454,44,52.78,-108.28,75.2,6.93
41,Aquiraz,20,BR,1595204534,78,-3.9,-38.39,78.8,6.93
42,Ixtapa,75,MX,1595204536,79,20.7,-105.2,87.01,8.05
43,Esim,42,GH,1595204538,92,4.87,-2.24,74.91,6.58
44,Puerto Ayora,92,EC,1595204540,91,-0.74,-90.35,70.0,4.0
45,Christchurch,19,NZ,1595204542,82,-43.53,172.63,55.99,11.41
46,Great Falls,1,US,1595204544,23,47.5,-111.3,84.0,5.82
47,Ugoofaaru,100,MV,1595204546,80,5.67,73.0,80.35,24.99
48,East London,0,ZA,1595204547,52,-33.02,27.91,59.54,6.15
49,New Norfolk,69,AU,1595204383,81,-42.78,147.06,46.0,3.0
50,‘Ewa Beach,90,US,1595204433,58,21.32,-158.01,87.8,9.17
51,Hobart,40,AU,1595204340,70,-42.88,147.33,48.2,16.11
52,Huntsville,1,US,1595204407,78,34.73,-86.59,86.0,1.5
53,Khatanga,98,RU,1595204391,77,71.97,102.5,51.78,2.68
54,Bambous Virieux,40,MU,1595204369,77,-20.34,57.76,68.0,11.41
55,Narsaq,33,GL,1595204559,50,60.92,-46.05,53.6,6.93
56,Jamestown,90,US,1595204562,100,42.1,-79.24,72.0,13.87
57,Barrow,90,US,1595204564,80,71.29,-156.79,39.2,13.87
58,San Jose,75,US,1595204456,53,37.34,-121.89,78.8,11.41
59,Prado,100,BR,1595204567,88,-17.34,-39.22,71.33,8.95
60,Kochubey,0,RU,1595204568,69,44.39,46.58,78.51,8.14
61,Poya,13,NC,1595204569,55,-21.35,165.15,73.15,7.67
62,Bluff,75,NZ,1595204571,83,-46.6,168.33,39.0,3.0
63,Dunedin,72,NZ,1595204400,72,-45.87,170.5,48.0,8.99
64,Camacha,40,PT,1595204329,83,33.08,-16.33,69.8,9.17
65,Aktanysh,90,RU,1595204576,91,55.72,54.08,64.65,10.58
66,Esperance,90,AU,1595204531,66,-33.87,121.9,53.6,4.7
67,Sinnamary,87,GF,1595204435,82,5.38,-52.95,78.91,9.15
68,Kyenjojo,10,UG,1595204580,71,0.63,30.62,58.24,1.07
69,Torbay,39,CA,1595204582,60,47.67,-52.73,64.99,3.0
70,Rosetta,0,EG,1595204584,78,31.4,30.42,77.0,11.41
71,Tiksi,14,RU,1595204586,54,71.69,128.87,63.1,10.04
72,Adeje,0,ES,1595204587,83,28.12,-16.73,82.0,4.7
73,Hong Kong,100,HK,1595204589,74,22.29,114.16,86.0,3.0
74,Upernavik,59,GL,1595204590,54,72.79,-56.15,49.03,7.65
75,Bac Lieu,98,VN,1595204540,75,9.29,105.72,82.09,0.76
76,Okhotsk,74,RU,1595204594,81,59.38,143.3,60.8,7.18
77,Jiexiu,0,CN,1595204596,41,37.02,111.91,77.77,4.56
78,Los Barrios,0,ES,1595204597,88,36.18,-5.49,75.2,6.93
79,Alice Springs,55,AU,1595204377,47,-23.7,133.88,57.2,5.82
80,Bratsk,20,RU,1595204602,76,56.13,101.61,53.6,4.47
81,Saint Paul Harbor,90,US,1595204320,82,57.79,-152.41,59.0,17.22
82,Nanortalik,2,GL,1595204413,74,60.14,-45.24,48.34,6.44
83,Dhārchula,54,IN,1595204609,74,29.85,80.53,68.07,1.83
84,Laguna,1,US,1595204438,33,38.42,-121.42,89.01,12.75
85,Sept-Îles,75,CA,1595204613,64,50.2,-66.38,71.6,5.82
86,Zdvinsk,52,RU,1595204412,86,54.7,78.66,66.88,5.19
87,Cidreira,56,BR,1595204618,80,-30.18,-50.21,66.18,8.77
88,Santa Catarina Mita,20,GT,1595204620,33,14.45,-89.75,91.4,3.36
